dc.title[en_US],dc.date.issued[en_US],dc.publisher[en_US],dc.identifier.uri[],dc.title[en],dc.contributor.author,dc.contributor.author[],dc.identifier.uri,dc.publisher,dc.date.issued,dc.title[],dc.contributor.author[en_US],collection,dc.publisher[en],dc.date.issued[],id
,,,,,,"Ingalls, Micah",http://hdl.handle.net/1813/44349,,,The Power Problematic In Social-Ecological Systems,,1813/47,,2016-05-29,45525
,,,,,,"Kelly, Matthew",http://hdl.handle.net/1813/44350,,,Designing Reliable Controllers For Bipedal Robots,,1813/47,,2016-05-29,45526
,,,,,,"Sarrias Jeraldo, Mauricio Alejandro",http://hdl.handle.net/1813/44352,,,Three Essays On Continuous And Discrete Spatial Heterogeneity,,1813/47,,2016-05-29,45528
,,,,,,"Athens, Niccolo",http://hdl.handle.net/1813/44355,,,The Music Of Alan Hovhaness,,1813/47,,2016-05-29,45531
,,,,,,"Chen, Pei Jean",http://hdl.handle.net/1813/44360,,,The Transnational-Translational Modernity: Language And Sexuality In Colonial Taiwan And Korea,,1813/47,,2016-05-29,45536
,,,,,,"Park, Patrick",http://hdl.handle.net/1813/44363,,,Three Essays On The Strength Of Long-Range Communication Ties,,1813/47,,2016-05-29,45539
,,,,,,"Radecki, Peter",http://hdl.handle.net/1813/44364,,,Applied Probabilistic Inference: Model Estimation For Hvac Predictive Controls And All-Weather Perception For Autonomous Vehicles,,1813/47,,2016-05-29,45540
,,,,,,"Mertz, Rachel",http://hdl.handle.net/1813/44368,,,"Molecular Genetic Dissection Of Bundle Sheath Suberization In Zea Mays And Setaria Viridis, Two Model Nadp-Me C4 Grasses",,1813/47,,2016-05-29,45544
,,,,,,"Claflin, Susan",http://hdl.handle.net/1813/44378,,,Environmental And Ecological Factors Influencing Insect-Borne Virus Epidemiology,,1813/47,,2016-05-29,45554
,,,,,,"Deri, Sebastian",http://hdl.handle.net/1813/44385,,,"Rejected, But For Whom?: Why It Feels Worse To Be Rejected For Someone Rather Than No One",,1813/47,,2016-05-29,45561
,,,,,,"Xu, Shaomao",http://hdl.handle.net/1813/44389,,,The Sodium-O2/Co2 Electrochemical Cell,,1813/47,,2016-05-29,45565
,,,,,,"Aurand, Thomas",http://hdl.handle.net/1813/44390,,,Development Of Novel Genetic Circuits For The Detection Of Disease Biomarkers,,1813/47,,2016-05-29,45566
,,,,,,"Goel, Tirupam",http://hdl.handle.net/1813/44391,,,Essays In Banking And Regulation,,1813/47,,2016-05-29,45567
,,,,,,"Xu, Xuejuan",http://hdl.handle.net/1813/44399,,,Effect Of Surface Tension On Deformation Of Soft Solids,,1813/47,,2016-05-29,45575
,,,,,,"Gao, Yue",http://hdl.handle.net/1813/44401,,,The Pursuit Of Happiness: Hedonic And Eudaimonic Well-Being For Intrinsically Motivated Agents,,1813/47,,2016-05-29,45577
,,,,,,"Hansen, Zachariah",http://hdl.handle.net/1813/44407,,,"Improved Late Blight Management Through Resistance In Tomato, Pathogen Diagnostics, And Understanding Phytophthora Infestans Diversity",,1813/47,,2016-05-29,45583
,,,http://hdl.handle.net/1813/41043,,,"Zhang, Wenjin",,,,A Contact Angle Study Of Processing Induced Changes To Ingazno4 And Lotus Glass Surface,,1813/47,,2016-02-01,42162
,,,,,,"Hughes, Andrew",http://hdl.handle.net/1813/43553,,,Halloysite Nanotube Coatings For Selectin-Mediated Capture Of Rare Cells From Peripheral Blood,,1813/47,,2016-02-01,44716
,,,,,,"Warning, Alexander",http://hdl.handle.net/1813/43554,,,Physical Mechanisms Of Bacterial Attachment And Internalization In Plants: Multiscale Modeling With Non-Invasive Imaging,,1813/47,,2016-02-01,44717
,,,,,,"Lindley, Brian",http://hdl.handle.net/1813/43566,,,Mechanistic Investigations Into The Thermal C-C Bond Forming Cyclization Of Metal Pyridine-Enamide Complexes And The Synthesis And Reactivity Of Cationic And Neutral Iron(Iv) Alkylidene Complexes,,1813/47,,2016-02-01,44729
,,,,,,"Calabrese, Carmella",http://hdl.handle.net/1813/43573,,,Ultrafast Surface-Specific Spectroscopy Of Dyes And Catalysts At The Solid-Air Interface,,1813/47,,2016-02-01,44736
,,,,,,"Fossati, Diego",http://hdl.handle.net/1813/43586,,,"Elections, Parties And Policy: The Multilevel Politics Of Free Healthcare In Indonesia",,1813/47,,2016-02-01,44749
,,,,,,"Hamilton, Diana",http://hdl.handle.net/1813/43594,,,Style And The Experiment: The Coherence Of Experimental Writing,,1813/47,,2016-02-01,44757
,,,,,,"Yang, Eunhwa",http://hdl.handle.net/1813/43609,,,Diffusion Of Innovation In Sustainable Building Practices In Construction Projects And The Role Of Major Stakeholders,,1813/47,,2016-02-01,44772
,,,,,,"Merz, Gregory",http://hdl.handle.net/1813/43612,,,Characterizing Protein Conformations Using Copper-Based Pulsed Dipolar Esr Spectroscopy And Complimentary Biophysical Methods,,1813/47,,2016-02-01,44775
,,,,,,"Gifford, Gemara",http://hdl.handle.net/1813/43614,,,Agroecosystems For Communities And Conservation: Linking Bird Conservation And Sustainable Livelihoods In The Highlands Of Guatemala,,1813/47,,2016-02-01,44777
,,,,,,"Vidovic, Goran",http://hdl.handle.net/1813/43616,,,"Women, Metapoetry, And Comic Reception In Terence",,1813/47,,2016-02-01,44779
,,,,,,"Geng, Haoyan",http://hdl.handle.net/1813/43618,,,Towards Efficient And Reliable Publish-Subscribe For Geo-Distributed Datacenters,,1813/47,,2016-02-01,44781
,,,,,,"Reesink, Heidi",http://hdl.handle.net/1813/43619,,,The Role Of Lubricin And Galectins In Osteoarthritis And Cartilage Lubrication,,1813/47,,2016-02-01,44782
,,,,,,"Zhang, Han",http://hdl.handle.net/1813/43623,,,Warm Surfaces Of Electronic Devices And Human Thermal Responses,,1813/47,,2016-02-01,44786
,,,,,,"Welsh, Ian",http://hdl.handle.net/1813/43625,,,Giving Shape To Genomic Regulatory Networks Controlling Craniofacial And Asymmetric Organ Morphogenesis,,1813/47,,2016-02-01,44788
,,,,,,"Aguilar, Izath",http://hdl.handle.net/1813/43627,,,Novel Biomaterials To Control Igf-I Binding And   Enhance Chondrocyte Gene Therapy,,1813/47,,2016-02-01,44790
,,,,,,"Wagoner, Jessica",http://hdl.handle.net/1813/43630,,,Studies On Trans-Acting Factors Involved In Chloroplast Rna Editing In Arabidopsis Thaliana,,1813/47,,2016-02-01,44793
,,,,,,"DeCorato, John",http://hdl.handle.net/1813/43632,,,Creating A Basis For Three Dimensional Sketching,,1813/47,,2016-02-01,44795
,,,,,,"Tse, Jonathan",http://hdl.handle.net/1813/43634,,,A Simple Methodology For Design Tradeoff Analysis In Asynchronous Circuits,,1813/47,,2016-02-01,44797
,,,,,,"Wang, Jie",http://hdl.handle.net/1813/43644,,,Redox Regulation Via The Er Molecular Chaperone Bip Facilitates Cell Survival During And Post Oxidative Stress,,1813/47,,2016-02-01,44807
,,,,,,"Yan, Jiapei",http://hdl.handle.net/1813/43646,,,"A Novel Regulator Of Copper Homeostasis, Ccit1, And Spl7 Connect Copper Homeostasis With Pollen Fertility, Jasmonic Acid Biosynthesis And Cadmium Resistance In Arabidopsis Thaliana",,1813/47,,2016-02-01,44809
,,,,,,"Zhu, Jiageng",http://hdl.handle.net/1813/43647,,,The Preservation And Restoration Of Tokyo Railway Station In The Process Of Urban Redevelopment And Strategic Planning,,1813/47,,2016-02-01,44810
,,,,,,"Brennan, Karl",http://hdl.handle.net/1813/43651,,,Expanding The Utility Of Rna-Based Transcription Activation Mechanisms For Diagnostic Applications,,1813/47,,2016-02-01,44814
,,,,,,"Huang, Kai",http://hdl.handle.net/1813/43653,,,Work Zone Analysis Under Detour Settings,,1813/47,,2016-02-01,44816
,,,,,,"Wyffels, Kevin",http://hdl.handle.net/1813/43659,,,Precision Tracking Of Extended Objects Via Non-Traditional Sensor Models,,1813/47,,2016-02-01,44822
,,,,,,"Chen, Linxiao",http://hdl.handle.net/1813/43666,,,Glycoengineered Vesicle Vaccine Against Bacterial Pathogens,,1813/47,,2016-02-01,44829
,,,,,,"Rosas, Luisa",http://hdl.handle.net/1813/43667,,,Genealogies Of Cruelty: Alternative Theaters In An Early Modern World,,1813/47,,2016-02-01,44830
,,,,,,"Lazarus, Lauren",http://hdl.handle.net/1813/43669,,,Three Problems Of Resonance In Coupled Or Driven Oscillator Systems,,1813/47,,2016-02-01,44832
,,,,,,"Clavier, Lucien",http://hdl.handle.net/1813/43670,,,Non-Affine Horocycle Orbit Closures On Strata Of Translation Surfaces: New Examples,,1813/47,,2016-02-01,44833
,,,,,,"Feng, Ni",http://hdl.handle.net/1813/43682,,,"Biological Rhythms Of Vocal Behavior In Fish: Hormonal, Neuronal, And Genetic Mechanisms",,1813/47,,2016-02-01,44845
,,,,,,"Patil, Namrata",http://hdl.handle.net/1813/43685,,,Polysacharide Based Hybrid ‘Green’ Composites,,1813/47,,2016-02-01,44848
,,,,,,"Otelaja, Obafemi",http://hdl.handle.net/1813/43687,,,Carrier Transport In Nanostructures: Probing Phonons And Electrons,,1813/47,,2016-02-01,44850
,,,,,,"Perry, Phillips",http://hdl.handle.net/1813/43688,,,The Performance Of Regionalization Schemes In Classifying Lakes For Black Bass Population Characteristics,,1813/47,,2016-02-01,44851
,,,,,,"Tirunagari, Ranjith",http://hdl.handle.net/1813/43693,,,Computational Investigation Of Highly-Turbulent Counterflow Flames Using Large-Eddy Simulation/Probability Density Function (Les/Pdf) Methods,,1813/47,,2016-02-01,44856
,,,,,,"Telang, Sidharth",http://hdl.handle.net/1813/43702,,,On Program Obfuscation,,1813/47,,2016-02-01,44865
,,,,,,"Gupta, Soumya",http://hdl.handle.net/1813/43704,,,"Three Essays On Agriculture- Nutrition Linkages: Women'S Iron Status And Empowerment In Agriculture In Chandrapur, India.",,1813/47,,2016-02-01,44867
,,,,,,"Lashgari, Sina",http://hdl.handle.net/1813/43709,,,Fundamental Impacts Of Delay And Deadline On Communications Over Wireless Networks,,1813/47,,2016-02-01,44872
,,,,,,"Luo, SiWei",http://hdl.handle.net/1813/43710,,,Mapping Valence: Learning-Dependent Immediate-Early Gene Early Growth Response (Egr-1) Expression In Chemosensory And Valence Circuitries Of The Long Evans Rat Brain,,1813/47,,2016-02-01,44873
,,,,,,"Villani, Sara",http://hdl.handle.net/1813/43713,,,"The Prevalence And Molecular Mechanisms Of Single-Site Fungicide Resistance In The Apple Scab Pathogen, Venturia Inaequalis",,1813/47,,2016-02-01,44876
,,,,,,"Sun, Siwei",http://hdl.handle.net/1813/43714,,,Characterization Of Flocs And Floc Size Distributions Using Image Analysis,,1813/47,,2016-02-01,44877
,,,,,,"Chan, Weimin",http://hdl.handle.net/1813/43725,,,"Self-Assembly, Graphene And Applications",,1813/47,,2016-02-01,44888
,,,,,,"Li, Yupeng",http://hdl.handle.net/1813/43733,,,Is The Social Network An Effective Factor When Using Tablet Pcs For Learning? Evidence From A Field Experiment In Chinese Migrant Primary School,,1813/47,,2016-02-01,44896
,,,,,,"Zhang, Yuxiao",http://hdl.handle.net/1813/43738,,,Apparel Industry Csr Online Reporting Strategy On Product Webpage: Exploring Consumers In Usa And China,,1813/47,,2016-02-01,44901
,,,,,,"Md Sikin, Adi",http://hdl.handle.net/1813/44267,,,Inactivation Of Microorganisms In Skim Milk And Shredded Mozzarella Cheese Using High Pressure Carbon Dioxide And Nitrous Oxide,,1813/47,,2016-05-29,45443
,,,,,,"Stingel, Ashley",http://hdl.handle.net/1813/44268,,,Ultrafast Continuum Mid-Infrared Spectroscopy Of Hydrogen-Bonded Dimers,,1813/47,,2016-05-29,45444
,,,,,,"Webb-Binder, Bernida",http://hdl.handle.net/1813/44269,,,"Affinities And Affiliations: Black Pacific Art In Aotearoa/New Zealand, 1948-2008",,1813/47,,2016-05-29,45445
,,,,,,"Treml, Benjamin",http://hdl.handle.net/1813/44270,,,Physical And Chemical Processing Methods For Producing Nanocrystal Films With Properties By Design,,1813/47,,2016-05-29,45446
,,,,,,"Kraft, Brandon",http://hdl.handle.net/1813/44271,,,"Disclosure In Pursuit Of Accountability: Studies On The Advent, Materiality, And Repercussions Of Utilities’ Environmental Disclosures",,1813/47,,2016-05-29,45447
,,,,,,"Burtch, Claire",http://hdl.handle.net/1813/44276,,,The Contribution Of Mono- And Diglucosidic Anthocyanins To Red Wine Color,,1813/47,,2016-05-29,45452
,,,,,,"Higgins, Carter",http://hdl.handle.net/1813/44279,,,Saintly Investments: Pilgrimage Development And Contemporary Hinduism In India,,1813/47,,2016-05-29,45455
,,,,,,"Ouellette, Charles",http://hdl.handle.net/1813/44282,,,"Long-Term Nitrogen And Phosphorus Trends In The Groundwaters Of The Cornell University Ruminant Center In Harford, Ny: 1974-2016",,1813/47,,2016-05-29,45458
,,,,,,"DeBlase, Catherine",http://hdl.handle.net/1813/44284,,,Redox-Active Covalent Organic Frameworks And Porous Polymers For Electrochemical Energy Storage,,1813/47,,2016-05-29,45460
,,,,,,"Sevillano Rios, Cristian",http://hdl.handle.net/1813/44286,,,"Diversity, Ecology, And Conservation Of Bird Communities Of Polylepis Woodlands In The Northern Andes Of Peru",,1813/47,,2016-05-29,45462
,,,,,,"Schmitt, Diane",http://hdl.handle.net/1813/44295,,,Effect Of Pre-Fermentation Cold Soak On The Chemical And Sensory Qualities Of Aromatic White Wines,,1813/47,,2016-05-29,45471
,,,,,,"Toupo, Danielle Flora",http://hdl.handle.net/1813/44296,,,Nonlinear Dynamics Of Cycles In Evolutionary Games,,1813/47,,2016-05-29,45472
,,,,,,"Lee, Donald",http://hdl.handle.net/1813/44298,,,Single-Particle Tracking Assays And Computational Tools For Studying Virus-Membrane Interactions,,1813/47,,2016-05-29,45474
,,,,,,"Bai, Gongshi",http://hdl.handle.net/1813/44309,,,Tumor Suppression By Regulation Of Mini-Chromosome Maintenance Expression In Response To Dna Replication Stress,,1813/47,,2016-05-29,45485
,,,,,,"Kantor, Hayden",http://hdl.handle.net/1813/44312,,,"“‘We Earn Less Than We Eat:’ Food, Farming, And The Caring Family In Bihar, India”",,1813/47,,2016-05-29,45488
,,,,,,"Kloumann, Isabel",http://hdl.handle.net/1813/44315,,,"Behaviors, Interactions, And Communities In Networks",,1813/47,,2016-05-29,45491
,,,,,,"Price, Ian",http://hdl.handle.net/1813/44318,,,How To Turn On A Riboswitch: Structural And Mechanistic Lessons Learned From S-Adenosyl-L-Methionine- And Manganese-Sensing Rnas,,1813/47,,2016-05-29,45494
,,,,,,"Hoople, Jason",http://hdl.handle.net/1813/44327,,,Integrated Piezoelectric Transducer Arrays For On Chip Communication And Sensing,,1813/47,,2016-05-29,45503
,,,,,,"Wilson, Kyle",http://hdl.handle.net/1813/44330,,,Robustly Modeling The World From Photos,,1813/47,,2016-05-29,45506
,,,,,,"Shi, Kaihang",http://hdl.handle.net/1813/44333,,,"Demand Estimation Of Automobile Market In Shanghai, China",,1813/47,,2016-05-29,45509
,,,,,,"Desrochers, Laura",http://hdl.handle.net/1813/44337,,,Microvesicles And Their Roles In Early Development,,1813/47,,2016-05-29,45513
,,,,,,"Nikandish, Naser",http://hdl.handle.net/1813/44357,,,Three Essays In Operations Management,,1813/47,,2016-05-29,45533
,,,,,,"Rong, Nan",http://hdl.handle.net/1813/44358,,,Learning In The Presence Of Unawareness,,1813/47,,2016-05-29,45534
,,,,,,"Ferreira de Souza Marzionna, Paulo",http://hdl.handle.net/1813/44362,,,Complaining To The Ombudsman – Alternative Dispute Resolution In The Brazilian Workplace,,1813/47,,2016-05-29,45538
,,,,,,"Kreis, Rachel",http://hdl.handle.net/1813/44367,,,Genetic Diversity Of Alternaria Brassicicola In New York State And Cauliflower Susceptibility To Alternaria Leaf Spot,,1813/47,,2016-05-29,45543
,,,,,,"Nehring, Ryan",http://hdl.handle.net/1813/44370,,,Yield Of Dreams: Marching West And The Politics Of Scientific Knowledge In The Brazilian Agricultural Research Corporation (Embrapa),,1813/47,,2016-05-29,45546
,,,,,,"Kesler, Robert",http://hdl.handle.net/1813/44371,,,Unbounded Multilinear Multipliers Adapted To Large Subspaces And Estimates For Degenerate Simplex Operators,,1813/47,,2016-05-29,45547
,,,,,,"Low, Stephen",http://hdl.handle.net/1813/44376,,,Toward An Aesthetic Of Gay Culture,,1813/47,,2016-05-29,45552
,,,,,,"Smith, Soshana",http://hdl.handle.net/1813/44377,,,"Effect Of Various Ceramic Precursors On The Mechanical, Thermal, And Electrochemical Properties Of Polymer/Ceramic Nanofiber Separators For Lithium Ion Batteries",,1813/47,,2016-05-29,45553
,,,,,,"Horibata, Sachi",http://hdl.handle.net/1813/44381,,,Elucidating The Role Of Peptidylarginine Deiminase 2(Padi2) In Mammary Tumor Progression,,1813/47,,2016-05-29,45557
,,,,,,"Kumar, Sneha",http://hdl.handle.net/1813/44382,,,The Causes Of Indonesia'S Late Fertility Transition Stall,,1813/47,,2016-05-29,45558
,,,,,,"Lau, Sampson",http://hdl.handle.net/1813/44384,,,Influence Of Discharge Product Formation On Lithium-Oxygen Battery Performance,,1813/47,,2016-05-29,45560
,,,,,,"Suh, Sung Won",http://hdl.handle.net/1813/44388,,,The Influence Of Capital Flows On Private And Public Equity Real Estate Funds,,1813/47,,2016-05-29,45564
,,,,,,"Knight, Teresa",http://hdl.handle.net/1813/44392,,,Home Girls And Understudies: Shy Women In Cold War Theatre And Film,,1813/47,,2016-05-29,45568
,,,,,,"Kern, Thomas",http://hdl.handle.net/1813/44393,,,Nonstandard Models Of The Weak Second Order Theory Of One Successor,,1813/47,,2016-05-29,45569
,,,,,,"Vo, Tommy",http://hdl.handle.net/1813/44396,,,Exploring Functional Landscapes Of The Cell Through The Lens Of Protein Interactome Networks,,1813/47,,2016-05-29,45572
,,,,,,"Cahill, Adam",http://hdl.handle.net/1813/44264,,,An Investigation Of The Aluminum K-Edge By Spatially Resolved X-Ray Absorption Spectroscopy,,1813/47,,2016-05-29,45440
,,,,,,"Aksu, Anil",http://hdl.handle.net/1813/43549,,,Energetics Of Nonlinear Generation Of Harmonics Through The Interaction Of An Internal Wave Beam With A Model Ocean Pycnocline,,1813/47,,2016-02-01,44712
,,,,,,"Stratford, Aoise",http://hdl.handle.net/1813/43550,,,Still Haunting The Castle: Feminist And Postcolonial Gothic Theatre At The End Of The Twentieth Century,,1813/47,,2016-02-01,44713
,,,,,,"Bolotskikh, Alexandra",http://hdl.handle.net/1813/43551,,,Post-Selection Inference,,1813/47,,2016-02-01,44714
,,,,,,"Cabolova, Anastasija",http://hdl.handle.net/1813/43552,,,"Seismic Investigation Of Deep 2D, 3D And 4D Structures Using Body Wave Interferometry, Computer Simulations And Semi-Conventional Processing",,1813/47,,2016-02-01,44715
,,,,,,"John, Amber",http://hdl.handle.net/1813/43556,,,Age-Related Differences In Accuracy Of Retrospective Pain Reporting,,1813/47,,2016-02-01,44719
,,,,,,"Bendorf, Adam",http://hdl.handle.net/1813/43562,,,Obligations And Blame At The Moral Epistemological Limit,,1813/47,,2016-02-01,44725
,,,,,,"Wallin, Christopher",http://hdl.handle.net/1813/43572,,,Single Cell And Single Molecule Techniques For The Analysis Of The Epigenome,,1813/47,,2016-02-01,44735
,,,,,,"Manahan, Craig",http://hdl.handle.net/1813/43574,,,Structure And Reactivity Of Cycle And Cryptochrome: Two Key Components Of The Drosophila Circadian Clock,,1813/47,,2016-02-01,44737
,,,,,,"Frewin, Christopher",http://hdl.handle.net/1813/43576,,,A Novel Atom Tracking Algorithm For The Analysis Of Complex Chemical Kinetic Networks: Applications To Soot Precursors Formation In Multicomponent Fuel Combustion,,1813/47,,2016-02-01,44739
,,,,,,"Fox, Don",http://hdl.handle.net/1813/43583,,,Thermal Hydraulic Modeling Of Discretely Fractured Geothermal Reservoirs,,1813/47,,2016-02-01,44746
,,,,,,"Coimbatore Nageswaran, Divyashree",http://hdl.handle.net/1813/43584,,,Genetic Dissection Of A Candidate Gene Controlling Flower Color In Brassica (Fast Plant),,1813/47,,2016-02-01,44747
,,,,,,"Pagan, Darren",http://hdl.handle.net/1813/43585,,,High Energy X-Ray Diffraction Studies Of Heterogeneous Slip In Plastically Deforming Single Crystals,,1813/47,,2016-02-01,44748
,,,,,,"Cohen, Danielle",http://hdl.handle.net/1813/43587,,,"Rethinking The Birth Plan: Population Control, The Cairo Consensus, And The Reform Of China'S Planned Birth Policy",,1813/47,,2016-02-01,44750
,,,,,,"Wakefield, Devin",http://hdl.handle.net/1813/43591,,,Patterned Ligand Surfaces For The Study Of Egf And Ige Receptor-Mediated Signaling,,1813/47,,2016-02-01,44754
,,,,,,"Moberg, Daniel",http://hdl.handle.net/1813/43592,,,Thermal Weights For Semiclassical Vibrational Response Functions,,1813/47,,2016-02-01,44755
,,,,,,"Samanta, Dipanjan",http://hdl.handle.net/1813/43593,,,Mechanisms Of Transmembrane Signaling By Bacterial Chemoreceptors: Studies Of Dynamics And Cofactor Reactivity,,1813/47,,2016-02-01,44756
,,,,,,"Fay, Elisabeth",http://hdl.handle.net/1813/43595,,,"Precarious Landscapes: Space, Identity, And Community In Migrant Italy",,1813/47,,2016-02-01,44758
,,,,,,"Gladstone, Eric",http://hdl.handle.net/1813/43598,,,Innovation From Imitation: Error In Diffusion Processes,,1813/47,,2016-02-01,44761
,,,,,,"Hoagland, Emily",http://hdl.handle.net/1813/43604,,,Women And Political Fundraising: Obstacles Overcome And Obstacles To Come,,1813/47,,2016-02-01,44767
,,,,,,"Wissink, Erin",http://hdl.handle.net/1813/43605,,,Post-Transcriptional Gene Regulation: Roles For Micrornas In Cd8+ T Cells And Discovery Of Novel Cis-Regulatory Elements,,1813/47,,2016-02-01,44768
,,,,,,"O'Sullivan, Elizabeth",http://hdl.handle.net/1813/43606,,,Distinguishing Between Feeding Human Milk At The Breast And From A Bottle,,1813/47,,2016-02-01,44769
,,,,,,"Turnell, Biz",http://hdl.handle.net/1813/43607,,,Sexual Selection In The Field: Pre- And Postcopulatory Dynamics In A Hawaiian Cricket,,1813/47,,2016-02-01,44770
,,,,,,"Tagle, Felipe",http://hdl.handle.net/1813/43610,,,Climate Extremes In A General Climate Model With Stochastic Parameterizations,,1813/47,,2016-02-01,44773
,,,,,,"Zhang, Fang",http://hdl.handle.net/1813/43611,,,Effects Of A Design Intervention For Facilitating Pet Visits To Long-Term Residents In An Aged Care Facility,,1813/47,,2016-02-01,44774
,,,,,,"Stiesberg, Gregory",http://hdl.handle.net/1813/43615,,,Dynamic Simulation Of Nonlinear Hybrid Rigid-Object Systems With Intermittent Non-Holonomic Constraints: In Search Of Stable Passive Hopping,,1813/47,,2016-02-01,44778
,,,,,,"Zhi, Hui",http://hdl.handle.net/1813/43624,,,Arsenic(V) Removal From Drinking Water By Concurrent Introduction Of As Contaminated Water And Polyaluminum Chloride In A Sand Filter Medium,,1813/47,,2016-02-01,44787
,,,,,,"Follman, Jessica",http://hdl.handle.net/1813/43628,,,"French Scenic Wallpaper In The American House Museum: A Panoramic View Of Its History, Production, Role In The Arts, Selection, Installation, Care, And Conservation, With A Special Focus On Lindenwald And Vizcaya",,1813/47,,2016-02-01,44791
,,,,,,"Hofgartner, Jason",http://hdl.handle.net/1813/43633,,,Dynamic Phenomena In The Lakes And Seas Of Titan,,1813/47,,2016-02-01,44796
,,,,,,"Guo, Jing",http://hdl.handle.net/1813/43635,,,The Stimulation Impact Of Homogeneous And Heterogeneous Visuals On Nominal And Interactive Group Brainstorming,,1813/47,,2016-02-01,44798
,,,,,,"Werner, Joerg",http://hdl.handle.net/1813/43636,,,Ordered Three-Dimensional Carbon-Based Multifunctional Nanohybrids For Energy Storage,,1813/47,,2016-02-01,44799
,,,,,,"Bybee-Finley, Kristine",http://hdl.handle.net/1813/43649,,,Functional Diversity In Summer Annual Grass And Legume Forage Intercrops,,1813/47,,2016-02-01,44812
,,,,,,"Chen, Kai-Yuan",http://hdl.handle.net/1813/43652,,,Dynamic Regulation Of Intestinal Stem Cell Niche And Colon Cancer Stem Cell Division,,1813/47,,2016-02-01,44815
,,,,,,"Jin, Kyoung Joo",http://hdl.handle.net/1813/43654,,,Structures And Reactions Of Glycinimine-Derived Enolates,,1813/47,,2016-02-01,44817
,,,,,,"Luke, Kevin",http://hdl.handle.net/1813/43656,,,Parametric Frequency Comb Generation In Visible And Mid-Infrared Wavelengths With Integrated Silicon Nitride Ring Resonators,,1813/47,,2016-02-01,44819
,,,,,,"Ma, Kai",http://hdl.handle.net/1813/43660,,,Silica-Based Nanomaterials For Cancer Theranostics,,1813/47,,2016-02-01,44823
,,,,,,"Ojeda, Karen",http://hdl.handle.net/1813/43662,,,Black And White Makes Gray: A Look At The Impact Of Race On Child Witness Credibility,,1813/47,,2016-02-01,44825
,,,,,,"Seth, Karn",http://hdl.handle.net/1813/43663,,,Non-Black Box Use Of Code In Cryptography,,1813/47,,2016-02-01,44826
,,,,,,"Panke-Buisse, Kevin",http://hdl.handle.net/1813/43665,,,"Functional Rhizosphere Microbiomes And Effects On Plant-Host Growth, Development, And Abiotic Stress Tolerance",,1813/47,,2016-02-01,44828
,,,,,,"Wang, Lu",http://hdl.handle.net/1813/43671,,,Summarization And Sentiment Analysis For Understanding Socially-Generated Content,,1813/47,,2016-02-01,44834
,,,,,,"Lee, Mike",http://hdl.handle.net/1813/43672,,,Musical Intentionality: Between Objects And Meaning,,1813/47,,2016-02-01,44835
,,,,,,"Bernard, Megan",http://hdl.handle.net/1813/43673,,,Characterization Of The Macrophage Response To Peripheral Nerve Injury,,1813/47,,2016-02-01,44836
,,,,,,"Fernandez Peters, Marcela",http://hdl.handle.net/1813/43675,,,Rapid Social And Hormonal Modulation Of Ultrasonic Vocalizations In The Golden Hamster (Mesocricetus Auratus),,1813/47,,2016-02-01,44838
,,,,,,"Kruer, Megan",http://hdl.handle.net/1813/43678,,,Rape'S Reprisals: Missing Sexual Violence In Early Modern French Literature,,1813/47,,2016-02-01,44841
,,,,,,"Ng Wenlin, Mairin",http://hdl.handle.net/1813/43679,,,Language-Dependent Recall Of Autobiographical Memories In English-Mandarin Bilingual Singaporeans,,1813/47,,2016-02-01,44842
,,,,,,"Crum, Nathan",http://hdl.handle.net/1813/43683,,,Spatial Ecology And Recolonization Dynamics Of Moose In New York And Northeastern North America,,1813/47,,2016-02-01,44846
,,,,,,"Figueredo, Oscar",http://hdl.handle.net/1813/43686,,,"Tender Struggles: Geography, Affect, And Modes Of Politics In Contemporary U.S. Latina/O Fiction",,1813/47,,2016-02-01,44849
,,,,,,"Padmanabhan, Poornima",http://hdl.handle.net/1813/43689,,,Engineering Ordered Bicontinuous Networks Formed By Block Copolymers With Additives Using Molecular Modeling,,1813/47,,2016-02-01,44852
,,,,,,"Coles, Phillip",http://hdl.handle.net/1813/43690,,,Produce Buyer Quality Requirements To Form An Eastern Broccoli Industry,,1813/47,,2016-02-01,44853
,,,,,,"Wang, Peng",http://hdl.handle.net/1813/43691,,,Using A Non-Dominated Sorting Genetic Algorithm (Nsga-Ii) To Solve The Transit Network Design Problem,,1813/47,,2016-02-01,44854
,,,,,,"Rappaport, Roxanne",http://hdl.handle.net/1813/43695,,,Experience-Taking And The Possibility To Buffer Against Stereotype Threat,,1813/47,,2016-02-01,44858
,,,,,,"Foster, Shyla",http://hdl.handle.net/1813/43700,,,"Telling Girlhood: Girls' Studies, Reparative Trauma And 20Th Century U.S. Popular Culture",,1813/47,,2016-02-01,44863
,,,,,,"Jauss, Sabine-Verena",http://hdl.handle.net/1813/43705,,,Pyrogenic Carbon Distribution And Controls In Soils Of The United States,,1813/47,,2016-02-01,44868
,,,,,,"Kolech, Semagn-Asredie",http://hdl.handle.net/1813/43707,,,"Potato (Solanum Tubersum L.) Variety Diversity, Attributes And Farmers/ Needs In Ethiopia",,1813/47,,2016-02-01,44870
,,,,,,"Lee, Tae Kyoung",http://hdl.handle.net/1813/43718,,,The Influence In News Stories Of Criminal Intentionality And Criminal And Victim Affective Dispositions On Support For Policy About Alcohol Crimes,,1813/47,,2016-02-01,44881
