dc.date.issued[en_US],dc.publisher,dc.date.issued[],dc.identifier.uri[],dc.title[en],dc.publisher[en_US],dc.date.issued,dc.identifier.uri,id,collection,dc.title[en_US],dc.contributor.author[en_US],dc.title[],dc.contributor.author[],dc.contributor.author,dc.publisher[en]
,,2016-05-29,,,,,http://hdl.handle.net/1813/44349,45525,1813/47,,,The Power Problematic In Social-Ecological Systems,"Ingalls, Micah",,
,,2016-05-29,,,,,http://hdl.handle.net/1813/44350,45526,1813/47,,,Designing Reliable Controllers For Bipedal Robots,"Kelly, Matthew",,
,,2016-05-29,,,,,http://hdl.handle.net/1813/44352,45528,1813/47,,,Three Essays On Continuous And Discrete Spatial Heterogeneity,"Sarrias Jeraldo, Mauricio Alejandro",,
,,2016-05-29,,,,,http://hdl.handle.net/1813/44355,45531,1813/47,,,The Music Of Alan Hovhaness,"Athens, Niccolo",,
,,2016-05-29,,,,,http://hdl.handle.net/1813/44360,45536,1813/47,,,The Transnational-Translational Modernity: Language And Sexuality In Colonial Taiwan And Korea,"Chen, Pei Jean",,
,,2016-05-29,,,,,http://hdl.handle.net/1813/44363,45539,1813/47,,,Three Essays On The Strength Of Long-Range Communication Ties,"Park, Patrick",,
,,2016-05-29,,,,,http://hdl.handle.net/1813/44364,45540,1813/47,,,Applied Probabilistic Inference: Model Estimation For Hvac Predictive Controls And All-Weather Perception For Autonomous Vehicles,"Radecki, Peter",,
,,2016-05-29,,,,,http://hdl.handle.net/1813/44368,45544,1813/47,,,"Molecular Genetic Dissection Of Bundle Sheath Suberization In Zea Mays And Setaria Viridis, Two Model Nadp-Me C4 Grasses","Mertz, Rachel",,
,,2016-05-29,,,,,http://hdl.handle.net/1813/44378,45554,1813/47,,,Environmental And Ecological Factors Influencing Insect-Borne Virus Epidemiology,"Claflin, Susan",,
,,2016-05-29,,,,,http://hdl.handle.net/1813/44385,45561,1813/47,,,"Rejected, But For Whom?: Why It Feels Worse To Be Rejected For Someone Rather Than No One","Deri, Sebastian",,
,,2016-05-29,,,,,http://hdl.handle.net/1813/44389,45565,1813/47,,,The Sodium-O2/Co2 Electrochemical Cell,"Xu, Shaomao",,
,,2016-05-29,,,,,http://hdl.handle.net/1813/44390,45566,1813/47,,,Development Of Novel Genetic Circuits For The Detection Of Disease Biomarkers,"Aurand, Thomas",,
,,2016-05-29,,,,,http://hdl.handle.net/1813/44391,45567,1813/47,,,Essays In Banking And Regulation,"Goel, Tirupam",,
,,2016-05-29,,,,,http://hdl.handle.net/1813/44399,45575,1813/47,,,Effect Of Surface Tension On Deformation Of Soft Solids,"Xu, Xuejuan",,
,,2016-05-29,,,,,http://hdl.handle.net/1813/44401,45577,1813/47,,,The Pursuit Of Happiness: Hedonic And Eudaimonic Well-Being For Intrinsically Motivated Agents,"Gao, Yue",,
,,2016-05-29,,,,,http://hdl.handle.net/1813/44407,45583,1813/47,,,"Improved Late Blight Management Through Resistance In Tomato, Pathogen Diagnostics, And Understanding Phytophthora Infestans Diversity","Hansen, Zachariah",,
,,2016-02-01,http://hdl.handle.net/1813/41043,,,,,42162,1813/47,,,A Contact Angle Study Of Processing Induced Changes To Ingazno4 And Lotus Glass Surface,"Zhang, Wenjin",,
,,2016-02-01,,,,,http://hdl.handle.net/1813/43553,44716,1813/47,,,Halloysite Nanotube Coatings For Selectin-Mediated Capture Of Rare Cells From Peripheral Blood,"Hughes, Andrew",,
,,2016-02-01,,,,,http://hdl.handle.net/1813/43554,44717,1813/47,,,Physical Mechanisms Of Bacterial Attachment And Internalization In Plants: Multiscale Modeling With Non-Invasive Imaging,"Warning, Alexander",,
,,2016-02-01,,,,,http://hdl.handle.net/1813/43566,44729,1813/47,,,Mechanistic Investigations Into The Thermal C-C Bond Forming Cyclization Of Metal Pyridine-Enamide Complexes And The Synthesis And Reactivity Of Cationic And Neutral Iron(Iv) Alkylidene Complexes,"Lindley, Brian",,
,,2016-02-01,,,,,http://hdl.handle.net/1813/43573,44736,1813/47,,,Ultrafast Surface-Specific Spectroscopy Of Dyes And Catalysts At The Solid-Air Interface,"Calabrese, Carmella",,
,,2016-02-01,,,,,http://hdl.handle.net/1813/43586,44749,1813/47,,,"Elections, Parties And Policy: The Multilevel Politics Of Free Healthcare In Indonesia","Fossati, Diego",,
,,2016-02-01,,,,,http://hdl.handle.net/1813/43594,44757,1813/47,,,Style And The Experiment: The Coherence Of Experimental Writing,"Hamilton, Diana",,
,,2016-02-01,,,,,http://hdl.handle.net/1813/43609,44772,1813/47,,,Diffusion Of Innovation In Sustainable Building Practices In Construction Projects And The Role Of Major Stakeholders,"Yang, Eunhwa",,
,,2016-02-01,,,,,http://hdl.handle.net/1813/43612,44775,1813/47,,,Characterizing Protein Conformations Using Copper-Based Pulsed Dipolar Esr Spectroscopy And Complimentary Biophysical Methods,"Merz, Gregory",,
,,2016-02-01,,,,,http://hdl.handle.net/1813/43614,44777,1813/47,,,Agroecosystems For Communities And Conservation: Linking Bird Conservation And Sustainable Livelihoods In The Highlands Of Guatemala,"Gifford, Gemara",,
,,2016-02-01,,,,,http://hdl.handle.net/1813/43616,44779,1813/47,,,"Women, Metapoetry, And Comic Reception In Terence","Vidovic, Goran",,
,,2016-02-01,,,,,http://hdl.handle.net/1813/43618,44781,1813/47,,,Towards Efficient And Reliable Publish-Subscribe For Geo-Distributed Datacenters,"Geng, Haoyan",,
,,2016-02-01,,,,,http://hdl.handle.net/1813/43619,44782,1813/47,,,The Role Of Lubricin And Galectins In Osteoarthritis And Cartilage Lubrication,"Reesink, Heidi",,
,,2016-02-01,,,,,http://hdl.handle.net/1813/43623,44786,1813/47,,,Warm Surfaces Of Electronic Devices And Human Thermal Responses,"Zhang, Han",,
,,2016-02-01,,,,,http://hdl.handle.net/1813/43625,44788,1813/47,,,Giving Shape To Genomic Regulatory Networks Controlling Craniofacial And Asymmetric Organ Morphogenesis,"Welsh, Ian",,
,,2016-02-01,,,,,http://hdl.handle.net/1813/43627,44790,1813/47,,,Novel Biomaterials To Control Igf-I Binding And   Enhance Chondrocyte Gene Therapy,"Aguilar, Izath",,
,,2016-02-01,,,,,http://hdl.handle.net/1813/43630,44793,1813/47,,,Studies On Trans-Acting Factors Involved In Chloroplast Rna Editing In Arabidopsis Thaliana,"Wagoner, Jessica",,
,,2016-02-01,,,,,http://hdl.handle.net/1813/43632,44795,1813/47,,,Creating A Basis For Three Dimensional Sketching,"DeCorato, John",,
,,2016-02-01,,,,,http://hdl.handle.net/1813/43634,44797,1813/47,,,A Simple Methodology For Design Tradeoff Analysis In Asynchronous Circuits,"Tse, Jonathan",,
,,2016-02-01,,,,,http://hdl.handle.net/1813/43644,44807,1813/47,,,Redox Regulation Via The Er Molecular Chaperone Bip Facilitates Cell Survival During And Post Oxidative Stress,"Wang, Jie",,
,,2016-02-01,,,,,http://hdl.handle.net/1813/43646,44809,1813/47,,,"A Novel Regulator Of Copper Homeostasis, Ccit1, And Spl7 Connect Copper Homeostasis With Pollen Fertility, Jasmonic Acid Biosynthesis And Cadmium Resistance In Arabidopsis Thaliana","Yan, Jiapei",,
,,2016-02-01,,,,,http://hdl.handle.net/1813/43647,44810,1813/47,,,The Preservation And Restoration Of Tokyo Railway Station In The Process Of Urban Redevelopment And Strategic Planning,"Zhu, Jiageng",,
,,2016-02-01,,,,,http://hdl.handle.net/1813/43651,44814,1813/47,,,Expanding The Utility Of Rna-Based Transcription Activation Mechanisms For Diagnostic Applications,"Brennan, Karl",,
,,2016-02-01,,,,,http://hdl.handle.net/1813/43653,44816,1813/47,,,Work Zone Analysis Under Detour Settings,"Huang, Kai",,
,,2016-02-01,,,,,http://hdl.handle.net/1813/43659,44822,1813/47,,,Precision Tracking Of Extended Objects Via Non-Traditional Sensor Models,"Wyffels, Kevin",,
,,2016-02-01,,,,,http://hdl.handle.net/1813/43666,44829,1813/47,,,Glycoengineered Vesicle Vaccine Against Bacterial Pathogens,"Chen, Linxiao",,
,,2016-02-01,,,,,http://hdl.handle.net/1813/43667,44830,1813/47,,,Genealogies Of Cruelty: Alternative Theaters In An Early Modern World,"Rosas, Luisa",,
,,2016-02-01,,,,,http://hdl.handle.net/1813/43669,44832,1813/47,,,Three Problems Of Resonance In Coupled Or Driven Oscillator Systems,"Lazarus, Lauren",,
,,2016-02-01,,,,,http://hdl.handle.net/1813/43670,44833,1813/47,,,Non-Affine Horocycle Orbit Closures On Strata Of Translation Surfaces: New Examples,"Clavier, Lucien",,
,,2016-02-01,,,,,http://hdl.handle.net/1813/43682,44845,1813/47,,,"Biological Rhythms Of Vocal Behavior In Fish: Hormonal, Neuronal, And Genetic Mechanisms","Feng, Ni",,
,,2016-02-01,,,,,http://hdl.handle.net/1813/43685,44848,1813/47,,,Polysacharide Based Hybrid ‘Green’ Composites,"Patil, Namrata",,
,,2016-02-01,,,,,http://hdl.handle.net/1813/43687,44850,1813/47,,,Carrier Transport In Nanostructures: Probing Phonons And Electrons,"Otelaja, Obafemi",,
,,2016-02-01,,,,,http://hdl.handle.net/1813/43688,44851,1813/47,,,The Performance Of Regionalization Schemes In Classifying Lakes For Black Bass Population Characteristics,"Perry, Phillips",,
,,2016-02-01,,,,,http://hdl.handle.net/1813/43693,44856,1813/47,,,Computational Investigation Of Highly-Turbulent Counterflow Flames Using Large-Eddy Simulation/Probability Density Function (Les/Pdf) Methods,"Tirunagari, Ranjith",,
,,2016-02-01,,,,,http://hdl.handle.net/1813/43702,44865,1813/47,,,On Program Obfuscation,"Telang, Sidharth",,
,,2016-02-01,,,,,http://hdl.handle.net/1813/43704,44867,1813/47,,,"Three Essays On Agriculture- Nutrition Linkages: Women'S Iron Status And Empowerment In Agriculture In Chandrapur, India.","Gupta, Soumya",,
,,2016-02-01,,,,,http://hdl.handle.net/1813/43709,44872,1813/47,,,Fundamental Impacts Of Delay And Deadline On Communications Over Wireless Networks,"Lashgari, Sina",,
,,2016-02-01,,,,,http://hdl.handle.net/1813/43710,44873,1813/47,,,Mapping Valence: Learning-Dependent Immediate-Early Gene Early Growth Response (Egr-1) Expression In Chemosensory And Valence Circuitries Of The Long Evans Rat Brain,"Luo, SiWei",,
,,2016-02-01,,,,,http://hdl.handle.net/1813/43713,44876,1813/47,,,"The Prevalence And Molecular Mechanisms Of Single-Site Fungicide Resistance In The Apple Scab Pathogen, Venturia Inaequalis","Villani, Sara",,
,,2016-02-01,,,,,http://hdl.handle.net/1813/43714,44877,1813/47,,,Characterization Of Flocs And Floc Size Distributions Using Image Analysis,"Sun, Siwei",,
,,2016-02-01,,,,,http://hdl.handle.net/1813/43725,44888,1813/47,,,"Self-Assembly, Graphene And Applications","Chan, Weimin",,
,,2016-02-01,,,,,http://hdl.handle.net/1813/43733,44896,1813/47,,,Is The Social Network An Effective Factor When Using Tablet Pcs For Learning? Evidence From A Field Experiment In Chinese Migrant Primary School,"Li, Yupeng",,
,,2016-02-01,,,,,http://hdl.handle.net/1813/43738,44901,1813/47,,,Apparel Industry Csr Online Reporting Strategy On Product Webpage: Exploring Consumers In Usa And China,"Zhang, Yuxiao",,
,,2016-05-29,,,,,http://hdl.handle.net/1813/44267,45443,1813/47,,,Inactivation Of Microorganisms In Skim Milk And Shredded Mozzarella Cheese Using High Pressure Carbon Dioxide And Nitrous Oxide,"Md Sikin, Adi",,
,,2016-05-29,,,,,http://hdl.handle.net/1813/44268,45444,1813/47,,,Ultrafast Continuum Mid-Infrared Spectroscopy Of Hydrogen-Bonded Dimers,"Stingel, Ashley",,
,,2016-05-29,,,,,http://hdl.handle.net/1813/44269,45445,1813/47,,,"Affinities And Affiliations: Black Pacific Art In Aotearoa/New Zealand, 1948-2008","Webb-Binder, Bernida",,
,,2016-05-29,,,,,http://hdl.handle.net/1813/44270,45446,1813/47,,,Physical And Chemical Processing Methods For Producing Nanocrystal Films With Properties By Design,"Treml, Benjamin",,
,,2016-05-29,,,,,http://hdl.handle.net/1813/44271,45447,1813/47,,,"Disclosure In Pursuit Of Accountability: Studies On The Advent, Materiality, And Repercussions Of Utilities’ Environmental Disclosures","Kraft, Brandon",,
,,2016-05-29,,,,,http://hdl.handle.net/1813/44276,45452,1813/47,,,The Contribution Of Mono- And Diglucosidic Anthocyanins To Red Wine Color,"Burtch, Claire",,
,,2016-05-29,,,,,http://hdl.handle.net/1813/44279,45455,1813/47,,,Saintly Investments: Pilgrimage Development And Contemporary Hinduism In India,"Higgins, Carter",,
,,2016-05-29,,,,,http://hdl.handle.net/1813/44282,45458,1813/47,,,"Long-Term Nitrogen And Phosphorus Trends In The Groundwaters Of The Cornell University Ruminant Center In Harford, Ny: 1974-2016","Ouellette, Charles",,
,,2016-05-29,,,,,http://hdl.handle.net/1813/44284,45460,1813/47,,,Redox-Active Covalent Organic Frameworks And Porous Polymers For Electrochemical Energy Storage,"DeBlase, Catherine",,
,,2016-05-29,,,,,http://hdl.handle.net/1813/44286,45462,1813/47,,,"Diversity, Ecology, And Conservation Of Bird Communities Of Polylepis Woodlands In The Northern Andes Of Peru","Sevillano Rios, Cristian",,
,,2016-05-29,,,,,http://hdl.handle.net/1813/44295,45471,1813/47,,,Effect Of Pre-Fermentation Cold Soak On The Chemical And Sensory Qualities Of Aromatic White Wines,"Schmitt, Diane",,
,,2016-05-29,,,,,http://hdl.handle.net/1813/44296,45472,1813/47,,,Nonlinear Dynamics Of Cycles In Evolutionary Games,"Toupo, Danielle Flora",,
,,2016-05-29,,,,,http://hdl.handle.net/1813/44298,45474,1813/47,,,Single-Particle Tracking Assays And Computational Tools For Studying Virus-Membrane Interactions,"Lee, Donald",,
,,2016-05-29,,,,,http://hdl.handle.net/1813/44309,45485,1813/47,,,Tumor Suppression By Regulation Of Mini-Chromosome Maintenance Expression In Response To Dna Replication Stress,"Bai, Gongshi",,
,,2016-05-29,,,,,http://hdl.handle.net/1813/44312,45488,1813/47,,,"“‘We Earn Less Than We Eat:’ Food, Farming, And The Caring Family In Bihar, India”","Kantor, Hayden",,
,,2016-05-29,,,,,http://hdl.handle.net/1813/44315,45491,1813/47,,,"Behaviors, Interactions, And Communities In Networks","Kloumann, Isabel",,
,,2016-05-29,,,,,http://hdl.handle.net/1813/44318,45494,1813/47,,,How To Turn On A Riboswitch: Structural And Mechanistic Lessons Learned From S-Adenosyl-L-Methionine- And Manganese-Sensing Rnas,"Price, Ian",,
,,2016-05-29,,,,,http://hdl.handle.net/1813/44327,45503,1813/47,,,Integrated Piezoelectric Transducer Arrays For On Chip Communication And Sensing,"Hoople, Jason",,
,,2016-05-29,,,,,http://hdl.handle.net/1813/44330,45506,1813/47,,,Robustly Modeling The World From Photos,"Wilson, Kyle",,
,,2016-05-29,,,,,http://hdl.handle.net/1813/44333,45509,1813/47,,,"Demand Estimation Of Automobile Market In Shanghai, China","Shi, Kaihang",,
,,2016-05-29,,,,,http://hdl.handle.net/1813/44337,45513,1813/47,,,Microvesicles And Their Roles In Early Development,"Desrochers, Laura",,
,,2016-05-29,,,,,http://hdl.handle.net/1813/44357,45533,1813/47,,,Three Essays In Operations Management,"Nikandish, Naser",,
,,2016-05-29,,,,,http://hdl.handle.net/1813/44358,45534,1813/47,,,Learning In The Presence Of Unawareness,"Rong, Nan",,
,,2016-05-29,,,,,http://hdl.handle.net/1813/44362,45538,1813/47,,,Complaining To The Ombudsman – Alternative Dispute Resolution In The Brazilian Workplace,"Ferreira de Souza Marzionna, Paulo",,
,,2016-05-29,,,,,http://hdl.handle.net/1813/44367,45543,1813/47,,,Genetic Diversity Of Alternaria Brassicicola In New York State And Cauliflower Susceptibility To Alternaria Leaf Spot,"Kreis, Rachel",,
,,2016-05-29,,,,,http://hdl.handle.net/1813/44370,45546,1813/47,,,Yield Of Dreams: Marching West And The Politics Of Scientific Knowledge In The Brazilian Agricultural Research Corporation (Embrapa),"Nehring, Ryan",,
,,2016-05-29,,,,,http://hdl.handle.net/1813/44371,45547,1813/47,,,Unbounded Multilinear Multipliers Adapted To Large Subspaces And Estimates For Degenerate Simplex Operators,"Kesler, Robert",,
,,2016-05-29,,,,,http://hdl.handle.net/1813/44376,45552,1813/47,,,Toward An Aesthetic Of Gay Culture,"Low, Stephen",,
,,2016-05-29,,,,,http://hdl.handle.net/1813/44377,45553,1813/47,,,"Effect Of Various Ceramic Precursors On The Mechanical, Thermal, And Electrochemical Properties Of Polymer/Ceramic Nanofiber Separators For Lithium Ion Batteries","Smith, Soshana",,
,,2016-05-29,,,,,http://hdl.handle.net/1813/44381,45557,1813/47,,,Elucidating The Role Of Peptidylarginine Deiminase 2(Padi2) In Mammary Tumor Progression,"Horibata, Sachi",,
,,2016-05-29,,,,,http://hdl.handle.net/1813/44382,45558,1813/47,,,The Causes Of Indonesia'S Late Fertility Transition Stall,"Kumar, Sneha",,
,,2016-05-29,,,,,http://hdl.handle.net/1813/44384,45560,1813/47,,,Influence Of Discharge Product Formation On Lithium-Oxygen Battery Performance,"Lau, Sampson",,
,,2016-05-29,,,,,http://hdl.handle.net/1813/44388,45564,1813/47,,,The Influence Of Capital Flows On Private And Public Equity Real Estate Funds,"Suh, Sung Won",,
,,2016-05-29,,,,,http://hdl.handle.net/1813/44392,45568,1813/47,,,Home Girls And Understudies: Shy Women In Cold War Theatre And Film,"Knight, Teresa",,
,,2016-05-29,,,,,http://hdl.handle.net/1813/44393,45569,1813/47,,,Nonstandard Models Of The Weak Second Order Theory Of One Successor,"Kern, Thomas",,
,,2016-05-29,,,,,http://hdl.handle.net/1813/44396,45572,1813/47,,,Exploring Functional Landscapes Of The Cell Through The Lens Of Protein Interactome Networks,"Vo, Tommy",,
,,2016-05-29,,,,,http://hdl.handle.net/1813/44264,45440,1813/47,,,An Investigation Of The Aluminum K-Edge By Spatially Resolved X-Ray Absorption Spectroscopy,"Cahill, Adam",,
,,2016-02-01,,,,,http://hdl.handle.net/1813/43549,44712,1813/47,,,Energetics Of Nonlinear Generation Of Harmonics Through The Interaction Of An Internal Wave Beam With A Model Ocean Pycnocline,"Aksu, Anil",,
,,2016-02-01,,,,,http://hdl.handle.net/1813/43550,44713,1813/47,,,Still Haunting The Castle: Feminist And Postcolonial Gothic Theatre At The End Of The Twentieth Century,"Stratford, Aoise",,
,,2016-02-01,,,,,http://hdl.handle.net/1813/43551,44714,1813/47,,,Post-Selection Inference,"Bolotskikh, Alexandra",,
,,2016-02-01,,,,,http://hdl.handle.net/1813/43552,44715,1813/47,,,"Seismic Investigation Of Deep 2D, 3D And 4D Structures Using Body Wave Interferometry, Computer Simulations And Semi-Conventional Processing","Cabolova, Anastasija",,
,,2016-02-01,,,,,http://hdl.handle.net/1813/43556,44719,1813/47,,,Age-Related Differences In Accuracy Of Retrospective Pain Reporting,"John, Amber",,
,,2016-02-01,,,,,http://hdl.handle.net/1813/43562,44725,1813/47,,,Obligations And Blame At The Moral Epistemological Limit,"Bendorf, Adam",,
,,2016-02-01,,,,,http://hdl.handle.net/1813/43572,44735,1813/47,,,Single Cell And Single Molecule Techniques For The Analysis Of The Epigenome,"Wallin, Christopher",,
,,2016-02-01,,,,,http://hdl.handle.net/1813/43574,44737,1813/47,,,Structure And Reactivity Of Cycle And Cryptochrome: Two Key Components Of The Drosophila Circadian Clock,"Manahan, Craig",,
,,2016-02-01,,,,,http://hdl.handle.net/1813/43576,44739,1813/47,,,A Novel Atom Tracking Algorithm For The Analysis Of Complex Chemical Kinetic Networks: Applications To Soot Precursors Formation In Multicomponent Fuel Combustion,"Frewin, Christopher",,
,,2016-02-01,,,,,http://hdl.handle.net/1813/43583,44746,1813/47,,,Thermal Hydraulic Modeling Of Discretely Fractured Geothermal Reservoirs,"Fox, Don",,
,,2016-02-01,,,,,http://hdl.handle.net/1813/43584,44747,1813/47,,,Genetic Dissection Of A Candidate Gene Controlling Flower Color In Brassica (Fast Plant),"Coimbatore Nageswaran, Divyashree",,
,,2016-02-01,,,,,http://hdl.handle.net/1813/43585,44748,1813/47,,,High Energy X-Ray Diffraction Studies Of Heterogeneous Slip In Plastically Deforming Single Crystals,"Pagan, Darren",,
,,2016-02-01,,,,,http://hdl.handle.net/1813/43587,44750,1813/47,,,"Rethinking The Birth Plan: Population Control, The Cairo Consensus, And The Reform Of China'S Planned Birth Policy","Cohen, Danielle",,
,,2016-02-01,,,,,http://hdl.handle.net/1813/43591,44754,1813/47,,,Patterned Ligand Surfaces For The Study Of Egf And Ige Receptor-Mediated Signaling,"Wakefield, Devin",,
,,2016-02-01,,,,,http://hdl.handle.net/1813/43592,44755,1813/47,,,Thermal Weights For Semiclassical Vibrational Response Functions,"Moberg, Daniel",,
,,2016-02-01,,,,,http://hdl.handle.net/1813/43593,44756,1813/47,,,Mechanisms Of Transmembrane Signaling By Bacterial Chemoreceptors: Studies Of Dynamics And Cofactor Reactivity,"Samanta, Dipanjan",,
,,2016-02-01,,,,,http://hdl.handle.net/1813/43595,44758,1813/47,,,"Precarious Landscapes: Space, Identity, And Community In Migrant Italy","Fay, Elisabeth",,
,,2016-02-01,,,,,http://hdl.handle.net/1813/43598,44761,1813/47,,,Innovation From Imitation: Error In Diffusion Processes,"Gladstone, Eric",,
,,2016-02-01,,,,,http://hdl.handle.net/1813/43604,44767,1813/47,,,Women And Political Fundraising: Obstacles Overcome And Obstacles To Come,"Hoagland, Emily",,
,,2016-02-01,,,,,http://hdl.handle.net/1813/43605,44768,1813/47,,,Post-Transcriptional Gene Regulation: Roles For Micrornas In Cd8+ T Cells And Discovery Of Novel Cis-Regulatory Elements,"Wissink, Erin",,
,,2016-02-01,,,,,http://hdl.handle.net/1813/43606,44769,1813/47,,,Distinguishing Between Feeding Human Milk At The Breast And From A Bottle,"O'Sullivan, Elizabeth",,
,,2016-02-01,,,,,http://hdl.handle.net/1813/43607,44770,1813/47,,,Sexual Selection In The Field: Pre- And Postcopulatory Dynamics In A Hawaiian Cricket,"Turnell, Biz",,
,,2016-02-01,,,,,http://hdl.handle.net/1813/43610,44773,1813/47,,,Climate Extremes In A General Climate Model With Stochastic Parameterizations,"Tagle, Felipe",,
,,2016-02-01,,,,,http://hdl.handle.net/1813/43611,44774,1813/47,,,Effects Of A Design Intervention For Facilitating Pet Visits To Long-Term Residents In An Aged Care Facility,"Zhang, Fang",,
,,2016-02-01,,,,,http://hdl.handle.net/1813/43615,44778,1813/47,,,Dynamic Simulation Of Nonlinear Hybrid Rigid-Object Systems With Intermittent Non-Holonomic Constraints: In Search Of Stable Passive Hopping,"Stiesberg, Gregory",,
,,2016-02-01,,,,,http://hdl.handle.net/1813/43624,44787,1813/47,,,Arsenic(V) Removal From Drinking Water By Concurrent Introduction Of As Contaminated Water And Polyaluminum Chloride In A Sand Filter Medium,"Zhi, Hui",,
,,2016-02-01,,,,,http://hdl.handle.net/1813/43628,44791,1813/47,,,"French Scenic Wallpaper In The American House Museum: A Panoramic View Of Its History, Production, Role In The Arts, Selection, Installation, Care, And Conservation, With A Special Focus On Lindenwald And Vizcaya","Follman, Jessica",,
,,2016-02-01,,,,,http://hdl.handle.net/1813/43633,44796,1813/47,,,Dynamic Phenomena In The Lakes And Seas Of Titan,"Hofgartner, Jason",,
,,2016-02-01,,,,,http://hdl.handle.net/1813/43635,44798,1813/47,,,The Stimulation Impact Of Homogeneous And Heterogeneous Visuals On Nominal And Interactive Group Brainstorming,"Guo, Jing",,
,,2016-02-01,,,,,http://hdl.handle.net/1813/43636,44799,1813/47,,,Ordered Three-Dimensional Carbon-Based Multifunctional Nanohybrids For Energy Storage,"Werner, Joerg",,
,,2016-02-01,,,,,http://hdl.handle.net/1813/43649,44812,1813/47,,,Functional Diversity In Summer Annual Grass And Legume Forage Intercrops,"Bybee-Finley, Kristine",,
,,2016-02-01,,,,,http://hdl.handle.net/1813/43652,44815,1813/47,,,Dynamic Regulation Of Intestinal Stem Cell Niche And Colon Cancer Stem Cell Division,"Chen, Kai-Yuan",,
,,2016-02-01,,,,,http://hdl.handle.net/1813/43654,44817,1813/47,,,Structures And Reactions Of Glycinimine-Derived Enolates,"Jin, Kyoung Joo",,
,,2016-02-01,,,,,http://hdl.handle.net/1813/43656,44819,1813/47,,,Parametric Frequency Comb Generation In Visible And Mid-Infrared Wavelengths With Integrated Silicon Nitride Ring Resonators,"Luke, Kevin",,
,,2016-02-01,,,,,http://hdl.handle.net/1813/43660,44823,1813/47,,,Silica-Based Nanomaterials For Cancer Theranostics,"Ma, Kai",,
,,2016-02-01,,,,,http://hdl.handle.net/1813/43662,44825,1813/47,,,Black And White Makes Gray: A Look At The Impact Of Race On Child Witness Credibility,"Ojeda, Karen",,
,,2016-02-01,,,,,http://hdl.handle.net/1813/43663,44826,1813/47,,,Non-Black Box Use Of Code In Cryptography,"Seth, Karn",,
,,2016-02-01,,,,,http://hdl.handle.net/1813/43665,44828,1813/47,,,"Functional Rhizosphere Microbiomes And Effects On Plant-Host Growth, Development, And Abiotic Stress Tolerance","Panke-Buisse, Kevin",,
,,2016-02-01,,,,,http://hdl.handle.net/1813/43671,44834,1813/47,,,Summarization And Sentiment Analysis For Understanding Socially-Generated Content,"Wang, Lu",,
,,2016-02-01,,,,,http://hdl.handle.net/1813/43672,44835,1813/47,,,Musical Intentionality: Between Objects And Meaning,"Lee, Mike",,
,,2016-02-01,,,,,http://hdl.handle.net/1813/43673,44836,1813/47,,,Characterization Of The Macrophage Response To Peripheral Nerve Injury,"Bernard, Megan",,
,,2016-02-01,,,,,http://hdl.handle.net/1813/43675,44838,1813/47,,,Rapid Social And Hormonal Modulation Of Ultrasonic Vocalizations In The Golden Hamster (Mesocricetus Auratus),"Fernandez Peters, Marcela",,
,,2016-02-01,,,,,http://hdl.handle.net/1813/43678,44841,1813/47,,,Rape'S Reprisals: Missing Sexual Violence In Early Modern French Literature,"Kruer, Megan",,
,,2016-02-01,,,,,http://hdl.handle.net/1813/43679,44842,1813/47,,,Language-Dependent Recall Of Autobiographical Memories In English-Mandarin Bilingual Singaporeans,"Ng Wenlin, Mairin",,
,,2016-02-01,,,,,http://hdl.handle.net/1813/43683,44846,1813/47,,,Spatial Ecology And Recolonization Dynamics Of Moose In New York And Northeastern North America,"Crum, Nathan",,
,,2016-02-01,,,,,http://hdl.handle.net/1813/43686,44849,1813/47,,,"Tender Struggles: Geography, Affect, And Modes Of Politics In Contemporary U.S. Latina/O Fiction","Figueredo, Oscar",,
,,2016-02-01,,,,,http://hdl.handle.net/1813/43689,44852,1813/47,,,Engineering Ordered Bicontinuous Networks Formed By Block Copolymers With Additives Using Molecular Modeling,"Padmanabhan, Poornima",,
,,2016-02-01,,,,,http://hdl.handle.net/1813/43690,44853,1813/47,,,Produce Buyer Quality Requirements To Form An Eastern Broccoli Industry,"Coles, Phillip",,
,,2016-02-01,,,,,http://hdl.handle.net/1813/43691,44854,1813/47,,,Using A Non-Dominated Sorting Genetic Algorithm (Nsga-Ii) To Solve The Transit Network Design Problem,"Wang, Peng",,
,,2016-02-01,,,,,http://hdl.handle.net/1813/43695,44858,1813/47,,,Experience-Taking And The Possibility To Buffer Against Stereotype Threat,"Rappaport, Roxanne",,
,,2016-02-01,,,,,http://hdl.handle.net/1813/43700,44863,1813/47,,,"Telling Girlhood: Girls' Studies, Reparative Trauma And 20Th Century U.S. Popular Culture","Foster, Shyla",,
,,2016-02-01,,,,,http://hdl.handle.net/1813/43705,44868,1813/47,,,Pyrogenic Carbon Distribution And Controls In Soils Of The United States,"Jauss, Sabine-Verena",,
,,2016-02-01,,,,,http://hdl.handle.net/1813/43707,44870,1813/47,,,"Potato (Solanum Tubersum L.) Variety Diversity, Attributes And Farmers/ Needs In Ethiopia","Kolech, Semagn-Asredie",,
,,2016-02-01,,,,,http://hdl.handle.net/1813/43718,44881,1813/47,,,The Influence In News Stories Of Criminal Intentionality And Criminal And Victim Affective Dispositions On Support For Policy About Alcohol Crimes,"Lee, Tae Kyoung",,
